시도명,시군구명,시설명,상세주소,시설면적,경도,위도,관리부서
충청북도,청주시,미원중학교 운동장,충청북도 청주시 상당구 미원면 미원리 281-3,12527.0000,127.661119,36.636462,시설6급 김진수
충청북도,청주시,미원초등학교 운동장,충청북도 청주시 상당구 미원면 미원리 292-2,7862.0000,127.659618,36.636017,시설6급 김진수
충청북도,청주시,가덕중학교 운동장,충청북도 청주시 상당구 가덕면 수곡리 255,9255.0000,127.561115,36.562502,오한정
강원도,인제군,상남초등학교,강원도 인제군 상남면 상남리 103,9121.0000,128.260650,37.873091,
강원도,인제군,인제고등학교,강원도 인제군 인제읍 합강리 344,13565.0000,128.178593,38.073188,
강원도,인제군,귀둔초등학교,강원도 인제군 인제읍 귀둔리 676-2,11289.0000,128.361358,38.017066,
강원도,인제군,부평초등학교,강원도 인제군 남면 신남리 458,13659.0000,128.083640,37.970630,
강원도,인제군,신남중고등학교,강원도 인제군 남면 신남리 404,3372.0000,128.079884,37.970323,
강원도,인제군,어론초등학교,강원도 인제군 남면 어론리 686-1,12895.0000,128.062206,37.932762,
강원도,인제군,원통초등학교,강원도 인제군 북면 원통리 737,3800.0000,128.200224,38.120093,
강원도,인제군,원통중고등학교,강원도 인제군 북면 원통리 398-1,6773.0000,128.213747,38.128276,
강원도,인제군,월학초등학교,강원도 인제군 북면 월학리 162,4374.0000,128.209166,38.170906,
강원도,인제군,한계초등학교,강원도 인제군 북면 한계리 1044,9685.0000,128.257386,38.140442,
강원도,인제군,용대초등학교,강원도 인제군 북면 용대리 1025-1,3066.0000,128.329664,38.195277,
강원도,인제군,기린초등학교,강원도 인제군 기린면 현리 433-1,2344.0000,128.319569,37.959084,
강원도,인제군,기린중고등학교,강원도 인제군 기린면 현리 765-2,13716.0000,128.312633,37.946676,
강원도,인제군,서화중학교,강원도 인제군 서화면 천도리 619,4530.0000,128.209567,38.221514,
강원도,인제군,서화초등학교,강원도 인제군 서화면 천도리 435-2,5222.0000,128.208601,38.229759,
강원도,인제군,서성초등학교,강원도 인제군 서화면 서화리 1242,11690.0000,128.209173,38.259593,
강원도,인제군,상남중학교,강원도 인제군 상남면 상남리 153,8790.0000,128.256326,37.872399,
강원도,삼척시,삼척고등학교,강원도 삼척시 당저동   57-0,19236.0000,129.165181,37.446400,김선희
강원도,삼척시,진주초등학교,강원도 삼척시 남양동   178,5295.0000,129.164839,37.433738,윤선옥
강원도,영월군,영월공설운동장,강원도 영월군 영월읍 하송리 318,15671.0000,128.458801,37.180786,
강원도,영월군,구래초등학교 운동장,강원도 영월군 상동읍 구래리 102-171,4030.0000,128.839329,37.142570,김계남
강원도,영월군,녹전초등학교 운동장,강원도 영월군 중동면 녹전리 756-2,8238.0000,128.681506,37.147666,
강원도,영월군,옥동중학교 운동장,강원도 영월군 김삿갓면 옥동리 402,10691.0000,128.570570,37.128229,김웅기
