시도명,시군구명,시설명,상세주소,시설면적,경도,위도,관리부서
충청남도,천안시,천안백석초등학교,충청남도 천안시 서북구 백석3로 98  (백석동),11997.0000,127.122087,36.820054,박혜숙
충청남도,천안시,천안백석중학교,충청남도 천안시 서북구 백석1길 56  (백석동),12947.0000,127.121817,36.819130,김상철
충청남도,천안시,환서초등학교,충청남도 천안시 서북구 한들2로 34-41  (백석동),6227.0000,127.122371,36.828099,박동인
충청남도,천안시,천안불당초등학교,충청남도 천안시 서북구 불당4로 39-21  (불당동),11867.0000,127.109008,36.806058,
충청남도,천안시,천성중학교,충청남도 천안시 동남구 벌말1길 7  (유량동),6559.0000,127.174303,36.812473,조만휘
충청남도,천안시,국가민방위재난안전교육원,충청남도 천안시 동남구 태조산길 269  (유량동),1750.0000,127.189405,36.818527,
충청남도,천안시,천안남산초등학교,충청남도 천안시 동남구 버들1길 30  (원성동),4364.0000,127.153982,36.804736,김천수
충청남도,천안시,천안여중학교,충청남도 천안시 동남구 원거리11길 31  (원성동),3440.0000,127.157437,36.802076,
충청남도,천안시 동남구,충청소방학교,충청남도 천안시 동남구 태조산길 269  (유량동),3714.4000,127.191737,36.819118,김연상
충청남도,천안시,천안봉명초등학교,충청남도 천안시 동남구 봉명2길 11  (봉명동),6201.0000,127.135060,36.805496,
충청남도,천안시,천안봉서초등학교,충청남도 천안시 동남구 봉서10길 12  (봉명동),11051.0000,127.131292,36.812814,이혜숙
충청남도,천안시,천안고등학교,충청남도 천안시 동남구 봉명로 53  (봉명동),2991.0000,127.134554,36.808532,
충청남도,천안시,천안용곡중학교,충청남도 천안시 동남구 새말1길 51-14  (용곡동),11803.0000,127.133399,36.789294,
충청남도,천안시,천안청룡초등학교,충청남도 천안시 동남구 풍세로 801-28  (용곡동),8930.0000,127.139603,36.780883,
충청남도,천안시,천안신방중학교,충청남도 천안시 동남구 신촌4로 46  (신방동),11765.0000,127.126288,36.790191,
충청남도,천안시,천안새샘초등학교,충청남도 천안시 동남구 통정9로 58  (신방동),9558.0000,127.131045,36.770899,
충청남도,천안시,천안새샘중학교,충청남도 천안시 동남구 통정6로 49  (신방동),10192.0000,127.137727,36.775990,
충청남도,천안시,천안구성초등학교,충청남도 천안시 동남구 청수로 126  (구성동),6540.0000,127.158504,36.793107,유재필
충청남도,천안시,천안청수고등학교,충청남도 천안시 동남구 청수로 82-46  (청수동),13698.0000,127.159227,36.791249,
충청남도,천안시,천안삼거리초등학교,충청남도 천안시 동남구 충절로 340  (삼룡동),9713.0000,127.163567,36.789570,
충청남도,천안시,천안동중학교,충청남도 천안시 동남구 충절로 363-11  (삼룡동),4969.0000,127.166788,36.788979,
충청남도,천안시,천안가온초등학교,충청남도 천안시 동남구 청수14로 21  (청당동),9970.0000,127.148909,36.785285,
충청남도,천안시,천안가온중학교,충청남도 천안시 동남구 청수6로 83  (청당동),11752.0000,127.155735,36.787579,
충청남도,천안시,천안청당초등학교,충청남도 천안시 동남구 청당2길 94  (청당동),9035.0000,127.151530,36.779794,
충청남도,천안시,북일여자고등학교,충청남도 천안시 동남구 단대로 71  (신부동),7004.0000,127.158112,36.830619,이상수
충청남도,천안시,북일고등학교,충청남도 천안시 동남구 단대로 69  (신부동),12097.0000,127.158112,36.830619,강익수
충청남도,천안시,성환읍사무소,충청남도 천안시 서북구 성환읍성환13길 7  ,2345.0000,127.134174,36.918215,신대균
충청남도,천안시,성신초등학교,충청남도 천안시 서북구 성환읍성환12길 7  ,691.0000,127.128683,36.918407,김현미
충청남도,천안시,성환고등학교,충청남도 천안시 서북구 성환읍신방로 354  ,3578.0000,127.116012,36.923901,김정식
충청남도,천안시,성거초등학교,충청남도 천안시 서북구 성거읍소댕이3길 606-21  ,171.0000,127.199702,36.871837,성거초등학교 교장
충청남도,천안시,충남예술고등학교,충청남도 천안시 서북구 성거읍천흥2길 42  ,3247.0000,127.204320,36.868562,
충청남도,천안시,소망초등학교,충청남도 천안시 서북구 성거읍역전말3길 102  ,8187.0000,127.162125,36.875972,
충청남도,천안시,천안인애학교,충청남도 천안시 서북구 성거읍봉주로 229  ,1019.0000,127.171555,36.879342,
충청남도,천안시,입장중학교,충청남도 천안시 서북구 입장면연곡길 36  ,741.0000,127.218626,36.920603,김흥래
충청남도,천안시,목천고등학교,충청남도 천안시 동남구 목천읍삼방로 145  ,948.0000,127.232663,36.782051,임동수
충청남도,천안시,신계초등학교,충청남도 천안시 동남구 목천읍천정1길 243-9  ,644.0000,127.202288,36.768560,김혁진
충청남도,천안시,신흥초등학교,충청남도 천안시 동남구 목천읍신계5길 27  ,9571.0000,127.216296,36.773543,
충청남도,천안시,천안부영초등학교,충청남도 천안시 동남구 목천읍삼성5길 22-14  ,903.0000,127.175232,36.759223,
충청남도,천안시,풍세초등학교,충청남도 천안시 동남구 풍세면풍세2길 5  ,776.0000,127.118036,36.725842,김해영
충청남도,천안시,천안미죽초등학교,충청남도 천안시 동남구 풍세면미죽2길 7  ,145.0000,127.150738,36.737726,김진화
충청남도,천안시,용정초등학교,충청남도 천안시 동남구 풍세면용정길 8-7  ,461.0000,127.101860,36.744924,이기태
충청남도,천안시,천남중학교,충청남도 천안시 동남구 성남면신사대화로 403  ,2789.0000,127.260391,36.731202,
